"filename", "language", "Dart", "YAML", "Markdown", "C++", "Swift", "XML", "HTML", "Properties", "JSON", "Log", "Groovy", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\Extension State\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\File System\Origins\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\GCM Store\Encryption\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\IndexedDB\http_localhost_50813.indexeddb.leveldb\000004.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\IndexedDB\http_localhost_53868.indexeddb.leveldb\000004.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 8, 83
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\IndexedDB\http_localhost_63184.indexeddb.leveldb\000004.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\Local Storage\leveldb\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\Service Worker\Database\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\Session Storage\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\Site Characteristics Database\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\Storage\ext\gfdkimpbcpahaombhbimeihdjnejgicl\def\Local Storage\leveldb\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\Storage\ext\gfdkimpbcpahaombhbimeihdjnejgicl\def\Session Storage\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\Sync Data\LevelDB\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\data_reduction_proxy_leveldb\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\data_reduction_proxy_leveldb\000005.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\shared_proto_db\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\shared_proto_db\metadata\000003.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\flutter_build\3d0ea908c3c22ce11b8654eb83673d1b\outputs.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\flutter_build\99ed75041cd774d2913e0086f439faa5\main.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 15
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\flutter_build\99ed75041cd774d2913e0086f439faa5\main.dart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74616, 0, 4546, 1, 79163
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\flutter_build\99ed75041cd774d2913e0086f439faa5\outputs.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\package_config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 320, 0, 0, 0, 0, 0, 1, 321
"c:\Users\surya\practice projects\flutter\notes_app\.idea\libraries\Dart_Packages.xml", "XML", 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292
"c:\Users\surya\practice projects\flutter\notes_app\.idea\libraries\Dart_SDK.xml", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\surya\practice projects\flutter\notes_app\.idea\libraries\Flutter_Plugins.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\surya\practice projects\flutter\notes_app\.idea\libraries\KotlinJavaRuntime.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\surya\practice projects\flutter\notes_app\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\surya\practice projects\flutter\notes_app\.idea\runConfigurations\main_dart.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\surya\practice projects\flutter\notes_app\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\surya\practice projects\flutter\notes_app\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
"c:\Users\surya\practice projects\flutter\notes_app\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\compiler.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\gradle.xml", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\jarRepositories.xml", "XML", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle_______build_app_intermediates_flutter_debug_libs_jar.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_activity_activity_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_annotation_annotation_1_1_0.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_arch_core_core_common_2_1_0.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_arch_core_core_runtime_2_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_asynclayoutinflater_asynclayoutinflater_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_browser_browser_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_collection_collection_1_1_0.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_coordinatorlayout_coordinatorlayout_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_core_core_1_1_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_cursoradapter_cursoradapter_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
