Date : 2021-09-27 13:37:23
Directory : c:\Users\surya\practice projects\flutter\notes_app
Total : 480 files,  168573 codes, 9573 comments, 658 blanks, all 178804 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |          3 |    149,459 |      9,121 |          9 |    158,589 |
| JSON       |        139 |     10,719 |          0 |          5 |     10,724 |
| XML        |        263 |      5,574 |        241 |        307 |      6,122 |
| Dart       |         25 |      2,326 |         87 |        220 |      2,633 |
| Log        |         17 |        171 |          0 |         21 |        192 |
| HTML       |          2 |         94 |         30 |         18 |        142 |
| Groovy     |          3 |         85 |          3 |         20 |        108 |
| Java       |          7 |         52 |         29 |         14 |         95 |
| YAML       |          1 |         39 |         47 |         16 |        102 |
| Properties |         16 |         28 |         15 |         16 |         59 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                 |        480 |    168,573 |      9,573 |        658 |    178,804 |
| .dart_tool                                                                                                                                                                                        |         22 |     75,118 |      4,547 |         28 |     79,693 |
| .dart_tool\chrome-device                                                                                                                                                                          |         17 |        171 |          0 |         21 |        192 |
| .dart_tool\chrome-device\Default                                                                                                                                                                  |         17 |        171 |          0 |         21 |        192 |
| .dart_tool\chrome-device\Default\Extension State                                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| .dart_tool\chrome-device\Default\File System                                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| .dart_tool\chrome-device\Default\File System\Origins                                                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| .dart_tool\chrome-device\Default\GCM Store                                                                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| .dart_tool\chrome-device\Default\GCM Store\Encryption                                                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| .dart_tool\chrome-device\Default\IndexedDB                                                                                                                                                        |          3 |        146 |          0 |         16 |        162 |
| .dart_tool\chrome-device\Default\IndexedDB\http_localhost_50813.indexeddb.leveldb                                                                                                                 |          1 |         36 |          0 |          4 |         40 |
| .dart_tool\chrome-device\Default\IndexedDB\http_localhost_53868.indexeddb.leveldb                                                                                                                 |          1 |         75 |          0 |          8 |         83 |
| .dart_tool\chrome-device\Default\IndexedDB\http_localhost_63184.indexeddb.leveldb                                                                                                                 |          1 |         35 |          0 |          4 |         39 |
| .dart_tool\chrome-device\Default\Local Storage                                                                                                                                                    |          1 |          2 |          0 |          0 |          2 |
| .dart_tool\chrome-device\Default\Local Storage\leveldb                                                                                                                                            |          1 |          2 |          0 |          0 |          2 |
| .dart_tool\chrome-device\Default\Service Worker                                                                                                                                                   |          1 |          3 |          0 |          0 |          3 |
| .dart_tool\chrome-device\Default\Service Worker\Database                                                                                                                                          |          1 |          3 |          0 |          0 |          3 |
| .dart_tool\chrome-device\Default\Session Storage                                                                                                                                                  |          1 |          3 |          0 |          0 |          3 |
| .dart_tool\chrome-device\Default\Site Characteristics Database                                                                                                                                    |          1 |          3 |          0 |          1 |          4 |
| .dart_tool\chrome-device\Default\Storage                                                                                                                                                          |          2 |          2 |          0 |          1 |          3 |
| .dart_tool\chrome-device\Default\Storage\ext                                                                                                                                                      |          2 |          2 |          0 |          1 |          3 |
| .dart_tool\chrome-device\Default\Storage\ext\gfdkimpbcpahaombhbimeihdjnejgicl                                                                                                                     |          2 |          2 |          0 |          1 |          3 |
| .dart_tool\chrome-device\Default\Storage\ext\gfdkimpbcpahaombhbimeihdjnejgicl\def                                                                                                                 |          2 |          2 |          0 |          1 |          3 |
| .dart_tool\chrome-device\Default\Storage\ext\gfdkimpbcpahaombhbimeihdjnejgicl\def\Local Storage                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| .dart_tool\chrome-device\Default\Storage\ext\gfdkimpbcpahaombhbimeihdjnejgicl\def\Local Storage\leveldb                                                                                           |          1 |          0 |          0 |          1 |          1 |
| .dart_tool\chrome-device\Default\Storage\ext\gfdkimpbcpahaombhbimeihdjnejgicl\def\Session Storage                                                                                                 |          1 |          2 |          0 |          0 |          2 |
| .dart_tool\chrome-device\Default\Sync Data                                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| .dart_tool\chrome-device\Default\Sync Data\LevelDB                                                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| .dart_tool\chrome-device\Default\data_reduction_proxy_leveldb                                                                                                                                     |          2 |          0 |          0 |          2 |          2 |
| .dart_tool\chrome-device\Default\shared_proto_db                                                                                                                                                  |          2 |          9 |          0 |          0 |          9 |
| .dart_tool\chrome-device\Default\shared_proto_db\metadata                                                                                                                                         |          1 |          3 |          0 |          0 |          3 |
| .dart_tool\flutter_build                                                                                                                                                                          |          4 |     74,627 |      4,547 |          6 |     79,180 |
| .dart_tool\flutter_build\3d0ea908c3c22ce11b8654eb83673d1b                                                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| .dart_tool\flutter_build\99ed75041cd774d2913e0086f439faa5                                                                                                                                         |          3 |     74,626 |      4,547 |          6 |     79,179 |
| .idea                                                                                                                                                                                             |          8 |        403 |          0 |          2 |        405 |
| .idea\libraries                                                                                                                                                                                   |          4 |        338 |          0 |          1 |        339 |
| .idea\runConfigurations                                                                                                                                                                           |          1 |          6 |          0 |          0 |          6 |
| android                                                                                                                                                                                           |        125 |      2,243 |         60 |         32 |      2,335 |
| android\.idea                                                                                                                                                                                     |        104 |      1,888 |          0 |          0 |      1,888 |
| android\.idea\libraries                                                                                                                                                                           |         92 |      1,185 |          0 |          0 |      1,185 |
| android\.idea\modules                                                                                                                                                                             |          5 |        406 |          0 |          0 |        406 |
| android\.idea\modules\-23537658                                                                                                                                                                   |          1 |         93 |          0 |          0 |         93 |
| android\.idea\modules\1998360643                                                                                                                                                                  |          1 |         85 |          0 |          0 |         85 |
| android\.idea\modules\769094907                                                                                                                                                                   |          1 |         66 |          0 |          0 |         66 |
| android\.idea\modules\app                                                                                                                                                                         |          1 |        143 |          0 |          0 |        143 |
| android\app                                                                                                                                                                                       |         16 |        284 |         59 |         21 |        364 |
| android\app\.idea                                                                                                                                                                                 |          6 |        131 |          0 |          0 |        131 |
| android\app\.idea\modules                                                                                                                                                                         |          1 |         18 |          0 |          0 |         18 |
| android\app\src                                                                                                                                                                                   |          7 |         64 |         49 |          9 |        122 |
| android\app\src\debug                                                                                                                                                                             |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                                                                              |          5 |         56 |         43 |          7 |        106 |
| android\app\src\main\res                                                                                                                                                                          |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                                                                   |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                                                                             |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                                                           |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                                                                                    |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                                                                            |          1 |          5 |          1 |          1 |          7 |
| build                                                                                                                                                                                             |        289 |     88,133 |      4,816 |        339 |     93,288 |
| build\app                                                                                                                                                                                         |        201 |     12,764 |        194 |        262 |     13,220 |
| build\app\generated                                                                                                                                                                               |          2 |         18 |          3 |          3 |         24 |
| build\app\generated\res                                                                                                                                                                           |          1 |         10 |          0 |          1 |         11 |
| build\app\generated\res\google-services                                                                                                                                                           |          1 |         10 |          0 |          1 |         11 |
| build\app\generated\res\google-services\debug                                                                                                                                                     |          1 |         10 |          0 |          1 |         11 |
| build\app\generated\res\google-services\debug\values                                                                                                                                              |          1 |         10 |          0 |          1 |         11 |
| build\app\generated\source                                                                                                                                                                        |          1 |          8 |          3 |          2 |         13 |
| build\app\generated\source\buildConfig                                                                                                                                                            |          1 |          8 |          3 |          2 |         13 |
| build\app\generated\source\buildConfig\debug                                                                                                                                                      |          1 |          8 |          3 |          2 |         13 |
| build\app\generated\source\buildConfig\debug\com                                                                                                                                                  |          1 |          8 |          3 |          2 |         13 |
| build\app\generated\source\buildConfig\debug\com\example                                                                                                                                          |          1 |          8 |          3 |          2 |         13 |
| build\app\generated\source\buildConfig\debug\com\example\notes_app                                                                                                                                |          1 |          8 |          3 |          2 |         13 |
| build\app\intermediates                                                                                                                                                                           |        198 |     12,728 |        191 |        259 |     13,178 |
| build\app\intermediates\annotation_processor_list                                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| build\app\intermediates\annotation_processor_list\debug                                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| build\app\intermediates\compatible_screen_manifest                                                                                                                                                |          1 |         10 |          0 |          0 |         10 |
| build\app\intermediates\compatible_screen_manifest\debug                                                                                                                                          |          1 |         10 |          0 |          0 |         10 |
| build\app\intermediates\flutter                                                                                                                                                                   |          2 |          2 |          0 |          0 |          2 |
| build\app\intermediates\flutter\debug                                                                                                                                                             |          2 |          2 |          0 |          0 |          2 |
| build\app\intermediates\flutter\debug\flutter_assets                                                                                                                                              |          2 |          2 |          0 |          0 |          2 |
| build\app\intermediates\incremental                                                                                                                                                               |         94 |      2,320 |        128 |        199 |      2,647 |
| build\app\intermediates\incremental\mergeDebugAssets                                                                                                                                              |          1 |          2 |          0 |          0 |          2 |
| build\app\intermediates\incremental\mergeDebugJniLibFolders                                                                                                                                       |          1 |          2 |          0 |          0 |          2 |
| build\app\intermediates\incremental\mergeDebugResources                                                                                                                                           |         91 |      2,314 |        128 |        199 |      2,641 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir                                                                                                                                |         89 |      2,070 |        127 |         18 |      2,215 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values                                                                                                                         |          1 |        258 |        125 |         18 |        401 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-af                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-am                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ar                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-as                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
